tenure,maritalstatus_Single,preferredlogindevice_Computer,numberofaddress,complain,maritalstatus_Married,gender_Male,cashbackamount,daysincelastorder,couponused,preferredlogindevice_Mobile,gender_Female,preferredpaymentmode_E_wallet,preferedordercat_Fashion,maritalstatus_Divorced,numberofdeviceregistered,preferredpaymentmode_Cash_on_Delivery,preferredpaymentmode_Debit_Card,satisfactionscore,warehousetohome,churn
15.0,0.0,1.0,2.0,0.0,1.0,0.0,166.03,8.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,8.0,0
10.0,0.0,0.0,2.0,1.0,1.0,0.0,237.44,8.0,3.5,1.0,1.0,0.0,1.0,0.0,1.5,0.0,1.0,1.0,16.0,0
1.0,1.0,1.0,2.0,0.0,0.0,1.0,159.79,5.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,36.0,1
13.0,0.0,0.0,3.0,0.0,0.0,0.0,201.54,8.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,18.0,1
8.0,0.0,1.0,7.0,0.0,1.0,1.0,120.24000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,15.0,0
7.0,0.0,0.0,3.0,1.0,1.0,1.0,197.13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,10.0,0
13.0,0.0,0.0,4.0,0.0,1.0,1.0,178.77,8.0,3.5,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,17.0,0
15.0,0.0,0.0,7.0,1.0,1.0,1.0,154.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,24.0,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,148.77,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,33.0,0
0.0,1.0,0.0,2.0,0.0,0.0,0.0,127.43,14.0,3.5,1.0,1.0,0.0,0.0,0.0,1.5,0.0,1.0,5.0,22.0,1
4.0,1.0,0.0,5.0,1.0,0.0,1.0,146.66,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,14.0,1
